Name,DisplayName,Type,Target,RadiusCm,DurationS,CooldownS,Effect,Magnitude
AB_FOUR_ARMED_FURY,Four-Armed Fury,ACTIVE,SELF_AOE,400,6,45,"Damage burst, four hits per second in radius",dmg=40/hit
AB_BONE_RALLY,Bone Rally,ACTIVE,ALLY_AOE,1200,20,60,Nearby Skulkin instantly reassemble,heal=50%
AB_LIGHTNING_RUSH,Lightning Rush,ACTIVE,SELF,0,8,40,Speed +100% and charge damage doubled,speed=+100%
AB_WATCHFUL_EYE,Watchful Eye,ACTIVE,ALLY_AOE,2000,15,50,Reveals all hidden/burrowed units; allies +3 defence,def=+3
AB_VANISH,Vanish,ACTIVE,SELF,0,10,45,Invisible; the next attack is a guaranteed critical,crit=x3
AB_HYPNOTIC_GAZE,Hypnotic Gaze,ACTIVE,ENEMY_UNIT,900,10,55,Target enemy unit stops fighting and walks to you,control=partial
AB_FANGPYRE_BITE,Fangpyre Bite,PASSIVE,AURA,700,0,0,Enemy models killed nearby raise as Fangpyre Scouts,chance=25%
AB_CONSTRICT,Constrict,ACTIVE,ENEMY_AOE,600,8,45,Enemies in radius are rooted and take crush damage,dmg=15/s
AB_VENOM_CLOUD,Venom Cloud,ACTIVE,GROUND_AOE,800,12,50,"Enemies hallucinate: attack random targets, friend or foe",confuse=100%
AB_SLITHER_PIT,Slither Pit Duel,ACTIVE,ENEMY_HERO,500,0,90,Challenge an enemy Lord to a 1v1. Winner's army gets +2 attack,buff=+2 atk
AB_FOUR_BLADES,Four Blades,ACTIVE,SELF_AOE,500,8,50,"Spinning butterfly swords, heavy armour-piercing",ap=35/hit
AB_HELMET_COMMAND,Helmet of Shadows,ACTIVE,ENEMY_AOE,1500,0,0,Take permanent control of every Stone Army unit in radius,control=full
AB_DARKNESS_FALLS,Darkness Falls,ACTIVE,GLOBAL,0,20,120,"All enemies -3 attack, -20 morale. Map goes dark",debuff=-3 atk
AB_MEGA_WEAPON,Mega Weapon,ACTIVE,GROUND_AOE,700,0,70,Reshapes the ground: creates a wall or a chasm,terrain=modify
AB_OVERCLOCK,Overclock,ACTIVE,ALLY_AOE,1200,15,50,Nearby Nindroids attack twice as fast,atkspeed=+100%
AB_ANACONDRAI_CURSE,Anacondrai Curse,ACTIVE,ALLY_UNIT,900,0,90,Permanently upgrade one cultist unit to Anacondrai Warriors,upgrade=ELITE
AB_DARK_SPELL,Dark Spell,ACTIVE,GROUND,1000,30,80,Summons an Anacondrai Serpent to fight for you,summon=MONSTER
AB_POSSESSION,Possession,ACTIVE,ENEMY_HERO,600,12,70,Take full control of an enemy hero,control=full
