name,faction,tier,role,notes,image,asset_status
Lord Garmadon,Skulkin (Skeleton Army),LORD,King of the Underworld,Seized the throne from Samukai; commands via Samukai,,todo
Samukai,Skulkin (Skeleton Army),LORD/CMD,Skulkin King → General of Fire,"Four-armed, wields 4 bone daggers; second-in-command to Garmadon",,todo
Wyplash,Skulkin (Skeleton Army),CMD,General of Ice,"Straw hat, paranoid; becomes leader after Samukai's death",,todo
Kruncha,Skulkin (Skeleton Army),CMD,General of Earth,"Helmeted, hot-tempered; briefly King of the Underworld",,todo
Nuckal,Skulkin (Skeleton Army),CMD,General of Lightning,"Spiked skull, childish; Kruncha's foil",,todo
Frakjaw,Skulkin (Skeleton Army),ELITE,Fire warrior,"Loud, frequently recurring grunt",,todo
Bonezai,Skulkin (Skeleton Army),ELITE,Ice warrior,Vehicle builder,,todo
Chopov,Skulkin (Skeleton Army),ELITE,Earth warrior,Mechanic; base model most Skulkin extras are built from,,todo
Krazi,Skulkin (Skeleton Army),ELITE,Lightning warrior,"Jester hat, unhinged",,todo
Skulkin Warriors,Skulkin (Skeleton Army),TROOP,Line infantry,"Bone weapons, elemental-coloured armour",,todo
Skulkin Miners,Skulkin (Skeleton Army),TROOP,Labour,,,todo
Skulkin Engineers,Skulkin (Skeleton Army),TROOP,Vehicle crew,,,todo
Skulkin Pit Bosses,Skulkin (Skeleton Army),TROOP,Overseers,,,todo
Skulkin Watchmen,Skulkin (Skeleton Army),TROOP,Sentries,,,todo
Skeleton Figurehead,Skulkin (Skeleton Army),ELITE,Misc.,Later appears on the Misfortune's Keep,,todo
Pythor P. Chumsworth,Anacondrai (purple,LORD,General → Snake King,Last surviving Anacondrai; turns invisible,,todo
Arcturus,Anacondrai (purple,CMD,Anacondrai General,Leader of the ancient generals banished to the Cursed Realm,,todo
Anacondrai Generals,Anacondrai (purple,CMD,Ancient generals,Freed from the Cursed Realm in S4,,todo
Anacondrai Warriors,Anacondrai (purple,TROOP,Line infantry,Bigger and smarter than other Serpentine,,todo
Anacondrai Serpent,Anacondrai (purple,—,Beast,The tribe's giant serpent,,todo
Slithraa,Hypnobrai (blue,CMD,Former General,Deposed by Skales in the Slither Pit,,todo
Skales,Hypnobrai (blue,LORD/CMD,General → Snake King (post-Pythor),Hypnotic gaze; later married to Selma,,todo
Mezmo,Hypnobrai (blue,ELITE,Warrior,,,todo
Rattla,Hypnobrai (blue,TROOP,Soldier,,,todo
Hypno Vipers,Hypnobrai (blue,TROOP,Scouts,,,todo
Skales Jr.,Hypnobrai (blue,—,Non-combatant,Skales' son,,todo
Spitz,Hypnobrai (blue,ELITE,Unaffiliated Hypnobrai,*Dragons Rising* era,,todo
Fangtom,Fangpyre (red,CMD,General,Two-headed,,todo
Fangdam,Fangpyre (red,ELITE,Warrior,Two-headed; Fangtom's brother,,todo
Fang-Suei,Fangpyre (red,TROOP,Soldier,,,todo
Snappa,Fangpyre (red,TROOP,Scout,Reckless,,todo
Red Vipers,Fangpyre (red,TROOP,Scouts,,,todo
